code	name	treasure	first	S	A	B	C	prop1	prop2	prop3	prop4	prop5
m001	引导任务	A1	T1	5	4	3	2	1	1	-1	1	0
m002	任务别名	A1	T2	5	4	3	2	2	-1	0	1	1.5
m003	任务3	A1	T3	5	4	3	2	1	-1	0	2	1.5
m004	奇怪的名字	A1	T3	5	4	3	2	1	1	-1	1	0
m005	任务名需唯一	A1	T3	5	4	3	2	2	-1	0	1	1.5
m006	任务6	A1	T3	5	4	3	2	1	-1	0	2	1.5
m007	任务7	A1	T3	5	4	3	2	1	1	-1	1	0
m008	任务8	A1	T3	5	4	3	2	2	-1	0	1	1.5
m009	任务9	A1	T3	5	4	3	2	1	-1	0	2	1.5
m010	任务10	A1	T3	5	4	3	2	1	-1	0	2	1.5
m011	任务11	A1	T1	5	4	3	2	1	1	-1	1	0
m012	任务12	A1	T2	5	4	3	2	2	-1	0	1	1.5
m013	任务13	A1	T3	5	4	3	2	1	-1	0	2	1.5
m014	任务14	A1	T3	5	4	3	2	1	1	-1	1	0
m015	任务15	A1	T3	5	4	3	2	2	-1	0	1	1.5
m016	任务16	A1	T3	5	4	3	2	1	-1	0	2	1.5
m017	任务17	A1	T3	5	4	3	2	1	1	-1	1	0
m018	任务18	A1	T3	5	4	3	2	2	-1	0	1	1.5
m019	任务19	A1	T3	5	4	3	2	1	-1	0	2	1.5
m020	任务20	A1	T3	5	4	3	2	1	-1	0	2	1.5
m021	任务21	A1	T1	5	4	3	2	1	1	-1	1	0
m022	任务22	A1	T2	5	4	3	2	2	-1	0	1	1.5
m023	任务23	A1	T3	5	4	3	2	1	-1	0	2	1.5
m024	任务24	A1	T3	5	4	3	2	1	1	-1	1	0
m025	任务25	A1	T3	5	4	3	2	2	-1	0	1	1.5
m026	任务26	A1	T3	5	4	3	2	1	-1	0	2	1.5
m027	任务27	A1	T3	5	4	3	2	1	1	-1	1	0
m028	任务28	A1	T3	5	4	3	2	2	-1	0	1	1.5
m029	任务29	A1	T3	5	4	3	2	1	-1	0	2	1.5
m030	任务30	A1	T3	5	4	3	2	1	-1	0	2	1.5
m031	任务31	A1	T1	5	4	3	2	1	1	-1	1	0
m032	任务32	A1	T2	5	4	3	2	2	-1	0	1	1.5
m033	任务33	A1	T3	5	4	3	2	1	-1	0	2	1.5
m034	任务34	A1	T3	5	4	3	2	1	1	-1	1	0
m035	任务35	A1	T3	5	4	3	2	2	-1	0	1	1.5
m036	任务36	A1	T3	5	4	3	2	1	-1	0	2	1.5
m037	任务37	A1	T3	5	4	3	2	1	1	-1	1	0
m038	任务38	A1	T3	5	4	3	2	2	-1	0	1	1.5
m039	任务39	A1	T3	5	4	3	2	1	-1	0	2	1
m040	任务40	A1	T3	5	4	3	2	1	-1	0	2	1
