code	equiv	equiv2	comment
gld			金币
apprl			衣服
eng			能量
misc			杂
quest			任务道具
mtrl	misc		材料
gft	misc		礼物
chp	misc		碎片
comp	apprl		
sngl	apprl		
运动	apprl		
睡衣	apprl		
内衣	apprl		
未分类上	sngl		
未分类下	sngl		
未分类发	sngl		
未分类鞋	sngl		
未分类套	comp		
短发	未分类发		
长发	未分类发		
长直发	未分类发		
长卷发	未分类发		
盘发	未分类发		
辫子	未分类发		
帽装	未分类发		
短袖	未分类上		
长袖	未分类上		
比基尼	未分类上	内衣	
小礼服	未分类上		
裤子	未分类下		
单裙	未分类下		
短裤	裤子		
长裤	裤子		
短裙	单裙		
长裙	单裙		
泳裤	未分类下	内衣	
运动鞋	未分类鞋	运动	
拖鞋	未分类鞋	睡衣	
凉鞋	未分类鞋		
短靴	未分类鞋		
长靴	未分类鞋		
高跟	未分类鞋		
连衣裙	未分类套		
礼服	连衣裙		
睡裙	连衣裙		
泳装	连衣裙		
