name	model	mcode	type	type2	subType	cost	dropLevel	prop1	prop2	prop3	prop4	prop5	
傀儡娃娃	g0003_p_dod	8	3	0	0	50	0	-1	1	0	0	0
傀儡娃娃	g0003_s_dod	16	4	0	0	0	0	0	0	0	0	0
粉雪球	g0004_h_dod	2	1	0	0	0	0	0	0	0	0	0
粉雪球	g0004_j_dod	4	2	0	0	0	0	0	0	0	0	0
粉雪球	g0004_p_dod	8	3	0	0	0	0	0	0	0	0	0
粉雪球	g0004_s_dod	16	4	0	0	0	0	0	0	0	0	0
艳粉之舞	g0005_h_dod	2	1	0	0	0	0	0	0	0	0	0
艳粉之舞	g0005_jp_dod	12	9	0	0	0	0	0	0	0	0	0
艳粉之舞	g0005_s_dod	16	4	0	0	0	0	0	0	0	0	0
宫廷相伴	g0006_h_dod	2	1	0	0	0	0	0	0	0	0	0
宫廷相伴	g0006_jp_dod	12	9	0	0	0	0	0	0	0	0	0
宫廷相伴	g0006_s_dod	16	4	0	0	0	0	0	0	0	0	0
雪白柔情	g0007_h_dod	2	1	0	0	0	0	0	0	0	0	0
雪白柔情	g0007_jp_dod	12	9	0	0	0	0	0	0	0	0	0
雪白柔情	g0007_s_dod	16	4	0	0	0	0	0	0	0	0	0
雪夜梦游	g0008_h_dod	2	1	0	0	0	0	0	0	0	0	0
雪夜梦游	g0008_jp_dod	12	9	0	0	0	0	0	0	0	0	0
雪夜梦游	g0008_s_dod	16	4	0	0	0	0	0	0	0	0	0
花色魔女	g0009_h_dod	2	1	0	0	0	0	0	0	0	0	0
花色魔女	g0009_j_dod	4	2	0	0	0	0	0	0	0	0	0
花色魔女	g0009_p_dod	8	3	0	0	0	0	0	0	0	0	0
花色魔女	g0009_s_dod	16	4	0	0	0	0	0	0	0	0	0
花蕊之心	g0010_h_dod	2	1	0	0	0	0	0	0	0	0	0
花蕊之心	g0010_jp_dod	12	9	0	0	0	0	0	0	0	0	0
花蕊之心	g0010_s_dod	16	4	0	0	0	0	0	0	0	0	0
甜甜萌音	g0011_h_dod	2	1	0	0	0	0	0	0	0	0	0
甜甜萌音	g0011_jp_dod	12	9	0	0	0	0	0	0	0	0	0
甜甜萌音	g0011_s_dod	16	4	0	0	0	0	0	0	0	0	0
柠檬诱惑	g0012_h_dod	2	1	0	0	0	0	0	0	0	0	0
柠檬诱惑	g0012_j_dod	4	2	0	0	0	0	0	0	0	0	0
柠檬诱惑	g0012_s_dod	16	4	0	0	0	0	0	0	0	0	0
静雅如初	g0013_h_dod	2	1	0	0	0	0	0	0	0	0	0
雪色猫猫	g0013_j_dod	4	2	0	0	0	0	0	0	0	0	0
静雅如初	g0013_p_dod	8	3	0	0	0	0	0	0	0	0	0
洛奇美眉	g0013_s_dod	16	4	0	0	0	0	0	0	0	0	0
网络情侣	g0014_h_dod	2	1	0	0	0	0	0	0	0	0	0
网络情侣	g0014_j_dod	4	2	0	0	0	0	0	0	0	0	0
网络情侣	g0014_p_dod	8	3	0	0	0	0	0	0	0	0	0
静雅如初	g0014_s_dod	16	4	0	0	0	0	0	0	0	0	0
紫色迷情	g0015_h_dod	2	1	0	0	0	0	0	0	0	0	0
清爽情侣	g0015_j_dod	4	2	0	0	0	0	0	0	0	0	0
红色蔷薇	g0016_h_dod	2	1	0	0	0	0	0	0	0	0	0
红色蔷薇	g0016_j_dod	4	2	0	0	0	0	0	0	0	0	0
红色蔷薇	g0016_p_dod	8	3	0	0	0	0	0	0	0	0	0
红色蔷薇	g0016_s_dod	16	4	0	0	0	0	0	0	0	0	0
公主风范	g0017_h_dod	2	1	0	0	0	0	0	0	0	0	0
公主风范	g0017_jp_dod	12	9	0	0	0	0	0	0	0	0	0
公主风范	g0017_s_dod	16	4	0	0	0	0	0	0	0	0	0
玄色祈福	g0018_hjps_dod	30	9	0	0	0	0	0	0	0	0	0
阳光心情	g0019_h_dod	2	1	0	0	0	0	0	0	0	0	0
冷雨夜	g0019_j_dod	4	2	0	0	0	0	0	0	0	0	0
冷雨夜	g0019_p_dod	8	3	0	0	0	0	0	0	0	0	0
七月	g0020_h_dod	2	1	0	0	0	0	0	0	0	0	0
七月	g0020_j_dod	4	2	0	0	0	0	0	0	0	0	0
七月	g0020_p_dod	8	3	0	0	0	0	0	0	0	0	0
校园情侣	g0021_h_dod	2	1	0	0	0	0	0	0	0	0	0
校园情侣	g0021_j_dod	4	2	0	0	0	0	0	0	0	0	0
校园情侣	g0021_p_dod	8	3	0	0	0	0	0	0	0	0	0
校园情侣	g0021_s_dod	16	4	0	0	0	0	0	0	0	0	0
魅舞轻纱	g0022_h_dod	2	1	0	0	0	0	0	0	0	0	0
魅舞轻纱	g0022_jp_dod	12	9	0	0	0	0	0	0	0	0	0
魅舞轻纱	g0022_s_dod	16	4	0	0	0	0	0	0	0	0	0
可爱情侣	g0023_h_dod	2	1	0	0	0	0	0	0	0	0	0
可爱情侣	g0023_j_dod	4	2	0	0	0	0	0	0	0	0	0
可爱情侣	g0023_p_dod	8	3	0	0	0	0	0	0	0	0	0
可爱情侣	g0023_s_dod	16	4	0	0	0	0	0	0	0	0	0
潮流女生	g0024_h_dod	2	1	0	0	0	0	0	0	0	0	0
潮流女生	g0024_j_dod	4	2	0	0	0	0	0	0	0	0	0
潮流女生	g0024_p_dod	8	3	0	0	0	0	0	0	0	0	0
潮流女生	g0024_s_dod	16	4	0	0	0	0	0	0	0	0	0
模范情侣	g0025_h_dod	2	1	0	0	0	2	-4	0	-2	0	0
模范情侣	g0025_jp_dod	12	9	0	0	0	0	0	0	0	0	0
模范情侣	g0025_s_dod	16	4	0	0	0	0	0	0	0	0	0
狸猫之恋	g0026_h_dod	2	1	0	0	0	0	0	0	0	0	0
