cost_m1	cost_m2	cost_m3	cost_m4	cost_m5	bonus_type	bonus_name	bonus_value	icon	citizen
1000	0	0	0	0	1	奖励1	100		1
1200	100	0	0	0	11	奖励1	100		2
2000	1000	1000	0	0	2	奖励2	100		3
4000	2000	1000			3	奖励	100		4
5000	3000	3000			12	奖励	100		5
6000	4000	5000			1	奖励	100		6
7000	5000	4000			2	奖励	100		7
8000	6000	8000			2	奖励	100		8
12000	8000	6000			13	奖励	100		9
14000	12000	10000			3	奖励	100		10
17000	14000	12000			3	奖励	100		11
20000	17000	20000			1	奖励	100		12
24000	20000	30000			14	奖励	100		13
28000	24000	24000			2	奖励	100		14
32000	28000	24000			1	奖励	100		15
37000	32000	35000			15	奖励	100		16
42000	40000	41000			1	奖励	100		17
48000	45000	42000			1	奖励	100		18
55000	50000	48000			2	奖励	100		19
